Metric,LogisticRegression,DecisionTreeClassifier,RandomForestClassifier,GaussianNB,XGBClassifier,LGBMClassifier
auc,0.888116013518612,0.8648389453759574,0.9292146601152487,0.6328677296871441,0.9481348990593851,0.9456141682729978
f1,0.3624115206248474,0.4723955140456528,0.48406569318450077,0.1696063890473474,0.49826126894560735,0.5002636435539151
precision,0.22245527821891947,0.32532035363067446,0.325398984403337,0.09285098622162817,0.33183307843565657,0.33367037411526795
recall,0.9772278530999079,0.8621824404370146,0.9447150190864815,0.9784125312623404,0.9996051072791892,0.9990785836514413
accuracy,0.7647853335254287,0.8682556548047832,0.862240671373001,0.3446189309897709,0.8622856937040773,0.8634562743120587
