Metric,LogisticRegression,DecisionTreeClassifier,RandomForestClassifier,GaussianNB,XGBClassifier,LGBMClassifier
auc,0.9195397369272246,0.8627708474744465,0.9291189672360598,0.8282517627086375,0.9481349206884886,0.9468254057022153
f1,0.4624291697462429,0.4702022569131485,0.4842680335885071,0.29826855263679225,0.49826126894560735,0.5021501819384717
precision,0.3018291457286432,0.3237835153922542,0.3255350018135655,0.17555560737855927,0.33183307843565657,0.3353510360977334
recall,0.9882848492826115,0.8583651441358431,0.9451099118072923,0.9909174674213506,0.9996051072791892,0.9990785836514413
accuracy,0.8428180377467224,0.8676793689670076,0.8622946981702925,0.681043797723671,0.8622856937040773,0.8644827834605965
