Metric,LogisticRegression,DecisionTreeClassifier,RandomForestClassifier,GaussianNB,XGBClassifier,LGBMClassifier
auc,0.33553881760380977,0.5356608870474742,0.8899263376731846,0.6284178489046632,0.9462248462893725,0.9472546594346697
f1,0.00597092419522326,0.13733075435203093,0.10584068338079033,0.16081370913581317,0.18074139065584557,0.3236065000873668
precision,0.21495327102803738,0.12092976655645726,0.11202587474272273,0.0876170016878932,0.5417488494411571,0.4811639386853728
recall,0.003027510859549822,0.1588785046728972,0.10030275108595499,0.9770962221929709,0.1084638673160458,0.24378043964722917
accuracy,0.931043797723671,0.8634562743120587,0.8840674974787495,0.30240599337271284,0.9327366373721366,0.9302874225615906
