Metric,LogisticRegression,DecisionTreeClassifier,RandomForestClassifier,GaussianNB,XGBClassifier,LGBMClassifier
roc_auc,0.8794816635176443,0.8632395129976601,0.9291786884675288,0.608945316390655,0.9489455802454337,0.9471553187758174
f1,0.362854608679398,0.45586294118541665,0.4790457110664659,0.16644407148352833,0.4917814052221135,0.49582726771186136
precision,0.2233488973527047,0.3160951886799896,0.32073069262448,0.09095496079886142,0.3262218205487359,0.3298124284431
recall,0.9675002809171245,0.8173723633032386,0.9461590357272888,0.9793087484256618,0.9987387554195104,0.998542150525205
accuracy,0.7695859315387874,0.8678003290801941,0.8605742168169416,0.33517021534048613,0.8601442503423147,0.8624178885516711
